,FIPS_x,county,Lat,Population,date,deaths,Long,Country/Region_x,Province/State_x,FIPS_y,Combined_Key,cases,Country/Region_y,Province/State_y
0,37001.0,Alamance,36.0434701,169509,2020-04-16,0.0,-79.39976137,US,North Carolina,37001.0,"Alamance, North Carolina, US",45,US,North Carolina
1,37003.0,Alexander,35.922379600000006,37497,2020-04-16,0.0,-81.17751948,US,North Carolina,37003.0,"Alexander,North Carolina,US",3,US,North Carolina
2,37005.0,Alleghany,36.49360862,11137,2020-04-16,0.0,-81.12857041,US,North Carolina,37005.0,"Alleghany, North Carolina, US",2,US,North Carolina
3,37007.0,Anson,34.97403241,24446,2020-04-16,0.0,-80.09953279,US,North Carolina,37007.0,"Anson, North Carolina, US",14,US,North Carolina
4,37009.0,Ashe,36.43296207,27203,2020-04-16,0.0,-81.49862729,US,North Carolina,37009.0,"Ashe, North Carolina, US",4,US,North Carolina
5,37011.0,Avery,36.07569796,17557,2020-04-16,0.0,-81.92308483,US,North Carolina,37011.0,"Avery, North Carolina, US",0,US,North Carolina
6,37013.0,Beaufort,35.48531943,46994,2020-04-16,0.0,-76.84325809,US,North Carolina,37013.0,"Beaufort, North Carolina, US",14,US,North Carolina
7,37015.0,Bertie,36.0688473,18947,2020-04-16,1.0,-76.96545943,US,North Carolina,37015.0,"Bertie, North Carolina, US",17,US,North Carolina
8,37017.0,Bladen,34.61296243,32722,2020-04-16,0.0,-78.56180059,US,North Carolina,37017.0,"Bladen, North Carolina, US",2,US,North Carolina
9,37019.0,Brunswick,34.070565,142820,2020-04-16,2.0,-78.22814204,US,North Carolina,37019.0,"Brunswick, North Carolina, US",36,US,North Carolina
10,37021.0,Buncombe,35.61113393,261191,2020-04-16,3.0,-82.53305,US,North Carolina,37021.0,"Buncombe, North Carolina, US",43,US,North Carolina
11,37023.0,Burke,35.74989637,90485,2020-04-16,5.0,-81.70755735,US,North Carolina,37023.0,"Burke, North Carolina, US",63,US,North Carolina
12,37025.0,Cabarrus,35.3877799,216453,2020-04-16,3.0,-80.55267168,US,North Carolina,37025.0,"Cabarrus, North Carolina, US",204,US,North Carolina
