FIPS,Year,R/D Spectrum,FIPS
1001.0,2008,0.47164512602431935,1001.0
1003.0,2008,0.5317440002147309,1003.0
1005.0,2008,0.02578453954864448,1005.0
1007.0,2008,0.4283984045908718,1007.0
1009.0,2008,0.6596650278903048,1009.0
1011.0,2008,-0.45662825685934827,1011.0
1013.0,2008,0.11921550071847657,1013.0
1015.0,2008,0.3095351189784961,1015.0
1017.0,2008,0.09894613389935344,1017.0
1019.0,2008,0.43088218763452063,1019.0
1021.0,2008,0.546984838191492,1021.0
1023.0,2008,0.06494010511418731,1023.0
1025.0,2008,0.12211919537202338,1025.0
1027.0,2008,0.4468070476554516,1027.0
1029.0,2008,0.583554954254698,1029.0
1031.0,2008,0.46663695688235657,1031.0
1033.0,2008,0.17847720388200217,1033.0
1035.0,2008,0.02351298615447538,1035.0
1037.0,2008,0.17467946294386977,1037.0
1039.0,2008,0.5414100173724397,1039.0
1041.0,2008,0.3491264559134226,1041.0
1043.0,2008,0.5939830316580811,1043.0
1045.0,2008,0.4459095216629064,1045.0
1047.0,2008,-0.3038180143742251,1047.0
1049.0,2008,0.48807642412496416,1049.0
1051.0,2008,0.4961197000007812,1051.0
1053.0,2008,0.2978409778389006,1053.0
1055.0,2008,0.3257056631436838,1055.0
1057.0,2008,0.45112161775353277,1057.0
1059.0,2008,0.35569116597582184,1059.0
1061.0,2008,0.5934136214676853,1061.0
1063.0,2008,-0.6414371011303306,1063.0
1065.0,2008,-0.21130605933944838,1065.0
1067.0,2008,0.3029223866108313,1067.0
1069.0,2008,0.43378836159401785,1069.0
1071.0,2008,0.303441243415595,1071.0
1073.0,2008,-0.012375178712609958,1073.0
1075.0,2008,0.4868402148279567,1075.0
1077.0,2008,0.2719529075124279,1077.0
1079.0,2008,0.21938898025462855,1079.0
1081.0,2008,0.21826137338483514,1081.0
1083.0,2008,0.3851984984822733,1083.0
1085.0,2008,-0.4746682349570981,1085.0
1087.0,2008,-0.7121083351675156,1087.0
1089.0,2008,0.1618584824924737,1089.0
1091.0,2008,-0.027422757506876616,1091.0
1093.0,2008,0.5066244204643763,1093.0
1095.0,2008,0.5094933263391587,1095.0
1097.0,2008,0.1265139234132036,1097.0
1099.0,2008,0.1413411335792787,1099.0
1101.0,2008,-0.14520177722121783,1101.0
1103.0,2008,0.40370970044231164,1103.0
1105.0,2008,-0.4347554224702703,1105.0
1107.0,2008,0.09301742214738958,1107.0
1109.0,2008,0.18310550136173515,1109.0
1111.0,2008,0.3784673115175942,1111.0
1113.0,2008,-0.07216864783966466,1113.0
1115.0,2008,0.6064312054094698,1115.0
1117.0,2008,0.5509151197483584,1117.0
1119.0,2008,-0.4823609665434109,1119.0
1121.0,2008,0.18640602606160414,1121.0
1123.0,2008,0.34237449653273766,1123.0
1125.0,2008,0.1837158160585363,1125.0
1127.0,2008,0.4189675159919819,1127.0
1129.0,2008,0.27407726321681414,1129.0
1131.0,2008,-0.4070338929569381,1131.0
1133.0,2008,0.626195822281334,1133.0
2001.0,2008,0.3290692652795978,2001.0
2002.0,2008,0.20169600585237646,2002.0
2003.0,2008,0.05909940089949016,2003.0
2004.0,2008,0.07749234847394272,2004.0
2005.0,2008,0.08735590281940817,2005.0
2006.0,2008,0.3151220802796014,2006.0
2007.0,2008,0.3396000828557385,2007.0
2008.0,2008,0.3225211034109898,2008.0
2009.0,2008,0.3876169719275756,2009.0
2010.0,2008,0.3899624942968297,2010.0
2011.0,2008,0.44125527980769447,2011.0
2012.0,2008,0.41364556831293997,2012.0
2013.0,2008,0.2958660557708891,2013.0
2014.0,2008,0.32745114511439133,2014.0
2015.0,2008,0.1990207239752922,2015.0
2016.0,2008,0.1356012678499142,2016.0
2017.0,2008,0.14319231241450886,2017.0
2018.0,2008,0.10146450171354353,2018.0
2019.0,2008,0.078732690129357,2019.0
2020.0,2008,0.06178892584888007,2020.0
2021.0,2008,0.12828008657314854,2021.0
2022.0,2008,0.11350057550043764,2022.0
2023.0,2008,0.09795513812440473,2023.0
2024.0,2008,0.17979632628744666,2024.0
2025.0,2008,0.139297696150724,2025.0
2026.0,2008,0.20570258232678182,2026.0
2027.0,2008,0.2176481108052796,2027.0
2028.0,2008,0.2909140828784038,2028.0
2029.0,2008,0.3066600709078847,2029.0
2030.0,2008,0.29500016166079274,2030.0
2031.0,2008,0.19395460521271263,2031.0
2032.0,2008,0.1269907861845307,2032.0
2033.0,2008,0.24601702106188866,2033.0
2034.0,2008,0.27763886797683296,2034.0
2035.0,2008,0.16390847227178723,2035.0
2036.0,2008,0.11220567890853576,2036.0
2037.0,2008,0.040798549258064074,2037.0
2038.0,2008,-0.11608485006752209,2038.0
2039.0,2008,-0.0888169088604511,2039.0
2040.0,2008,-0.0036811848521361656,2040.0
